2024/04/05 13:25:14 [error] 14132#42744: *1208 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/gallery/700x600_1.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/gallery/700x500_1.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1208 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-content/themes/convertTheme/assets/fonts/flaticon.woff?37838e573d8eb3b9effe3d291aafe6ff HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-content/themes/convertTheme/assets/css/flaticon.css?ver=6.5"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/gallery/700x700_1.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1205 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/gallery/700x700_2.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1207 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/gallery/700x800_2.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-1.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1208 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-2.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-3.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1205 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-5.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
